      2001,      1232
      2002,     71727
      2003,     97796
      2004,     94635
      2005,     84298
      2006,     85226
      2007,     84557
      2008,     86339
      2009,     79248
      2010,     76680
      2011,     74844
      2012,     75114
      2013,     71456
      2014,     61349
      2015,     56696
      2016,     61039
      2017,     63584
      2018,     64024
      2019,     61613
      2020,     12641
