Fall      ,HOUSE                                                       ,       131
Fall      ,JAIL / LOCK-UP FACILITY                                     ,       318
Fall      ,KENNEL                                                      ,         1
Fall      ,LAGOON                                                      ,         1
Fall      ,LAKE                                                        ,         2
Fall      ,LAKEFRONT/WATERFRONT/RIVERBANK                              ,       167
Fall      ,LIBRARY                                                     ,      1464
Fall      ,LIQUOR STORE                                                ,         1
Fall      ,LIVERY AUTO                                                 ,         1
Fall      ,MEDICAL / DENTAL OFFICE                                     ,         1
Fall      ,MEDICAL/DENTAL OFFICE                                       ,      1715
Fall      ,MOTEL                                                       ,         2
Fall      ,MOVIE HOUSE/THEATER                                         ,       636
Fall      ,NEWSSTAND                                                   ,        42
Fall      ,NURSING / RETIREMENT HOME                                   ,         3
Fall      ,NURSING HOME                                                ,         2
Fall      ,NURSING HOME/RETIREMENT HOME                                ,      3301
Fall      ,OFFICE                                                      ,         3
Fall      ,OTHER                                                       ,     60275
Fall      ,OTHER (SPECIFY)                                             ,        34
Fall      ,OTHER COMMERCIAL TRANSPORTATION                             ,       716
Fall      ,OTHER RAILROAD PROP / TRAIN DEPOT                           ,      1337
Fall      ,PARK PROPERTY                                               ,     10471
Fall      ,PARKING LOT                                                 ,        34
Fall      ,PARKING LOT / GARAGE (NON RESIDENTIAL)                      ,        20
Fall      ,PARKING LOT/GARAGE(NON.RESID.)                              ,     47013
Fall      ,PAWN SHOP                                                   ,       142
Fall      ,POLICE FACILITY / VEHICLE PARKING LOT                       ,         4
Fall      ,POLICE FACILITY/VEH PARKING LOT                             ,      3939
Fall      ,POOL ROOM                                                   ,       226
Fall      ,PORCH                                                       ,        72
Fall      ,RAILROAD PROPERTY                                           ,         1
Fall      ,RESIDENCE                                                   ,    265846
Fall      ,RESIDENCE - GARAGE                                          ,         6
Fall      ,RESIDENCE - PORCH / HALLWAY                                 ,        16
Fall      ,RESIDENCE - YARD (FRONT / BACK)                             ,         8
Fall      ,RESIDENCE PORCH/HALLWAY                                     ,     28288
Fall      ,RESIDENCE-GARAGE                                            ,     32176
Fall      ,RESIDENTIAL YARD (FRONT/BACK)                               ,     19023
Fall      ,RESTAURANT                                                  ,     26396
Fall      ,RETAIL STORE                                                ,        18
Fall      ,RIVER BANK                                                  ,         2
Fall      ,ROOMING HOUSE                                               ,         1
Fall      ,SAVINGS AND LOAN                                            ,        85
Fall      ,SCHOOL - PRIVATE BUILDING                                   ,         2
Fall      ,SCHOOL - PRIVATE GROUNDS                                    ,         1
Fall      ,SCHOOL - PUBLIC BUILDING                                    ,        13
Fall      ,SCHOOL - PUBLIC GROUNDS                                     ,         4
Fall      ,SCHOOL YARD                                                 ,         1
Fall      ,SCHOOL; PRIVATE; BUILDING                                   ,      3511
Fall      ,SCHOOL; PRIVATE; GROUNDS                                    ,      1197
Fall      ,SCHOOL; PUBLIC; BUILDING                                    ,     35995
Fall      ,SCHOOL; PUBLIC; GROUNDS                                     ,      7991
Fall      ,SEWER                                                       ,         1
Fall      ,SIDEWALK                                                    ,    169677
Fall      ,SMALL RETAIL STORE                                          ,     30623
Fall      ,SPORTS ARENA/STADIUM                                        ,      1180
Fall      ,STAIRWELL                                                   ,        10
Fall      ,STREET                                                      ,    426626
Fall      ,TAVERN                                                      ,         8
Fall      ,TAVERN/LIQUOR STORE                                         ,      4719
Fall      ,TAXI CAB                                                    ,         1
Fall      ,TAXICAB                                                     ,      1738
Fall      ,TRAILER                                                     ,         1
Fall      ,TRUCK                                                       ,         1
Fall      ,VACANT LOT                                                  ,        32
Fall      ,VACANT LOT / LAND                                           ,         1
Fall      ,VACANT LOT/LAND                                             ,      6361
Fall      ,VEHICLE - COMMERCIAL                                        ,         1
Fall      ,VEHICLE - DELIVERY TRUCK                                    ,        37
Fall      ,VEHICLE - OTHER RIDE SERVICE                                ,        97
Fall      ,VEHICLE - OTHER RIDE SHARE SERVICE (E.G.; UBER; LYFT)       ,       116
Fall      ,VEHICLE - OTHER RIDE SHARE SERVICE (LYFT; UBER; ETC.)       ,         3
Fall      ,VEHICLE NON-COMMERCIAL                                      ,     26566
Fall      ,VEHICLE-COMMERCIAL                                          ,      1375
Fall      ,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS                ,         5
Fall      ,VEHICLE-COMMERCIAL - TROLLEY BUS                            ,         2
Fall      ,VESTIBULE                                                   ,         6
Fall      ,WAREHOUSE                                                   ,      2261
Fall      ,YARD                                                        ,        62
Fall      ,YMCA                                                        ,         1
Spring    ,ABANDONED BUILDING                                          ,      2670
Spring    ,AIRCRAFT                                                    ,       167
Spring    ,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,       238
Spring    ,AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,       152
Spring    ,AIRPORT EXTERIOR - NON-SECURE AREA                          ,       201
Spring    ,AIRPORT EXTERIOR - SECURE AREA                              ,        71
Spring    ,AIRPORT PARKING LOT                                         ,       182
Spring    ,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,       464
Spring    ,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,       165
Spring    ,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,        28
Spring    ,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,       214
Spring    ,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,       959
Spring    ,AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,        18
Spring    ,AIRPORT VENDING ESTABLISHMENT                               ,       239
Spring    ,AIRPORT/AIRCRAFT                                            ,      3393
Spring    ,ALLEY                                                       ,     36002
Spring    ,ANIMAL HOSPITAL                                             ,       196
Spring    ,APARTMENT                                                   ,    178202
Spring    ,APPLIANCE STORE                                             ,       424
Spring    ,ATHLETIC CLUB                                               ,      2124
Spring    ,ATM (AUTOMATIC TELLER MACHINE)                              ,      2016
Spring    ,AUTO                                                        ,       259
Spring    ,AUTO / BOAT / RV DEALERSHIP                                 ,       138
Spring    ,BANK                                                        ,      6357
Spring    ,BAR OR TAVERN                                               ,      8961
Spring    ,BARBER SHOP/BEAUTY SALON                                    ,         6
Spring    ,BARBERSHOP                                                  ,      1920
Spring    ,BASEMENT                                                    ,         4
Spring    ,BOAT/WATERCRAFT                                             ,       124
Spring    ,BOWLING ALLEY                                               ,       151
Spring    ,BRIDGE                                                      ,        87
Spring    ,CAR WASH                                                    ,       606
Spring    ,CEMETARY                                                    ,        91
Spring    ,CHA APARTMENT                                               ,      7389
Spring    ,CHA ELEVATOR                                                ,         1
Spring    ,CHA GROUNDS                                                 ,        10
Spring    ,CHA HALLWAY                                                 ,         7
Spring    ,CHA HALLWAY / STAIRWELL / ELEVATOR                          ,        17
Spring    ,CHA HALLWAY/STAIRWELL/ELEVATOR                              ,      5577
Spring    ,CHA PARKING LOT                                             ,         8
Spring    ,CHA PARKING LOT / GROUNDS                                   ,        45
Spring    ,CHA PARKING LOT/GROUNDS                                     ,     11108
Spring    ,CHA PLAY LOT                                                ,         1
Spring    ,CHA STAIRWELL                                               ,         2
