Winter    ,OFFENSE INVOLVING CHILDREN              ,     11090
Winter    ,OTHER NARCOTIC VIOLATION                ,        25
Winter    ,OTHER OFFENSE                           ,     95195
Winter    ,PROSTITUTION                            ,     13588
Winter    ,PUBLIC INDECENCY                        ,        30
Winter    ,PUBLIC PEACE VIOLATION                  ,      8910
Winter    ,RITUALISM                               ,         4
Winter    ,ROBBERY                                 ,     54672
Winter    ,SEX OFFENSE                             ,      4776
Winter    ,STALKING                                ,       741
Winter    ,THEFT                                   ,    293182
Winter    ,WEAPONS VIOLATION                       ,     15764
