STREET,1647232
RESIDENCE,1067111
APARTMENT,703505
SIDEWALK,650652
OTHER,239468
PARKING LOT/GARAGE(NON.RESID.),181925
ALLEY,143516
SCHOOL_PUBLIC_BUILDING,131431
RESIDENCE-GARAGE,122232
SMALL RETAIL STORE,118432
